date,Buy_Volume,Sell_Volume,Volume,Price
2025-01-17 00:00:00,0.0,0.0,0.0,3.02
2025-01-17 00:15:00,0.0,0.0,0.0,3.02
2025-01-17 00:30:00,0.0,0.0,0.0,3.02
2025-01-17 00:45:00,0.0,0.0,0.0,3.02
2025-01-17 01:00:00,0.0,0.0,0.0,3.11
2025-01-17 01:15:00,0.0,0.0,0.0,3.11
2025-01-17 01:30:00,0.0,0.0,0.0,3.11
2025-01-17 01:45:00,0.0,0.0,0.0,3.11
2025-01-17 02:00:00,0.0,0.0,0.0,3.01
2025-01-17 02:15:00,0.0,0.0,0.0,3.01
2025-01-17 02:30:00,0.0,0.0,0.0,3.01
2025-01-17 02:45:00,0.0,0.0,0.0,3.01
2025-01-17 03:00:00,0.0,0.0,0.0,3.13
2025-01-17 03:15:00,0.0,0.0,0.0,3.13
2025-01-17 03:30:00,0.0,0.0,0.0,3.13
2025-01-17 03:45:00,0.0,0.0,0.0,3.13
2025-01-17 04:00:00,0.0,0.0,0.0,3.6
2025-01-17 04:15:00,0.0,0.0,0.0,3.6
2025-01-17 04:30:00,0.0,0.0,0.0,3.6
2025-01-17 04:45:00,0.0,0.0,0.0,3.6
2025-01-17 05:00:00,0.0,0.0,0.0,12.59
2025-01-17 05:15:00,0.0,0.0,0.0,12.59
2025-01-17 05:30:00,0.0,0.0,0.0,12.59
2025-01-17 05:45:00,0.0,0.0,0.0,12.59
2025-01-17 06:00:00,0.0,0.0,0.0,12.59
2025-01-17 06:15:00,0.0,0.0,0.0,12.59
2025-01-17 06:30:00,0.0,0.0,0.0,12.59
2025-01-17 06:45:00,0.0,0.0,0.0,12.59
2025-01-17 07:00:00,0.0,0.0,0.0,5.5
2025-01-17 07:15:00,0.0,0.0,0.0,5.5
2025-01-17 07:30:00,0.0,0.0,0.0,5.5
2025-01-17 07:45:00,0.0,0.0,0.0,5.5
2025-01-17 08:00:00,0.0,0.0,0.0,5.6
2025-01-17 08:15:00,0.0,0.0,0.0,5.6
2025-01-17 08:30:00,0.0,0.0,0.0,5.6
2025-01-17 08:45:00,0.0,0.0,0.0,5.6
2025-01-17 09:00:00,0.0,0.0,0.0,5.7
2025-01-17 09:15:00,0.0,0.0,0.0,5.7
2025-01-17 09:30:00,0.0,0.0,0.0,5.7
2025-01-17 09:45:00,0.0,0.0,0.0,5.7
2025-01-17 10:00:00,0.0,0.0,0.0,4.19
2025-01-17 10:15:00,0.0,0.0,0.0,4.19
2025-01-17 10:30:00,0.0,0.0,0.0,4.19
2025-01-17 10:45:00,0.0,0.0,0.0,4.19
2025-01-17 11:00:00,0.0,0.0,0.0,4.08
2025-01-17 11:15:00,0.0,0.0,0.0,4.08
2025-01-17 11:30:00,0.0,0.0,0.0,4.08
2025-01-17 11:45:00,0.0,0.0,0.0,4.08
2025-01-17 12:00:00,0.0,0.0,0.0,4.64
2025-01-17 12:15:00,0.0,0.0,0.0,4.64
2025-01-17 12:30:00,0.0,0.0,0.0,4.64
2025-01-17 12:45:00,0.0,0.0,0.0,4.64
2025-01-17 13:00:00,0.0,0.0,0.0,4.64
2025-01-17 13:15:00,0.0,0.0,0.0,4.64
2025-01-17 13:30:00,0.0,0.0,0.0,4.64
2025-01-17 13:45:00,0.0,0.0,0.0,4.64
2025-01-17 14:00:00,0.0,0.0,0.0,4.02
2025-01-17 14:15:00,0.0,0.0,0.0,4.02
2025-01-17 14:30:00,0.0,0.0,0.0,4.02
2025-01-17 14:45:00,0.0,0.0,0.0,4.02
2025-01-17 15:00:00,0.0,0.0,0.0,5.03
2025-01-17 15:15:00,0.0,0.0,0.0,5.03
2025-01-17 15:30:00,0.0,0.0,0.0,5.03
2025-01-17 15:45:00,0.0,0.0,0.0,5.03
2025-01-17 16:00:00,0.0,0.0,0.0,4.83
2025-01-17 16:15:00,0.0,0.0,0.0,4.83
2025-01-17 16:30:00,0.0,0.0,0.0,4.83
2025-01-17 16:45:00,0.0,0.0,0.0,4.83
2025-01-17 17:00:00,0.0,0.0,0.0,4.47
2025-01-17 17:15:00,0.0,0.0,0.0,4.47
2025-01-17 17:30:00,0.0,0.0,0.0,4.47
2025-01-17 17:45:00,0.0,0.0,0.0,4.47
2025-01-17 18:00:00,0.0,0.0,0.0,4.35
2025-01-17 18:15:00,0.0,0.0,0.0,4.35
2025-01-17 18:30:00,0.0,0.0,0.0,4.35
2025-01-17 18:45:00,0.0,0.0,0.0,4.35
2025-01-17 19:00:00,0.0,0.0,0.0,4.05
2025-01-17 19:15:00,0.0,0.0,0.0,4.05
2025-01-17 19:30:00,0.0,0.0,0.0,4.05
2025-01-17 19:45:00,0.0,0.0,0.0,4.05
2025-01-17 20:00:00,0.0,0.0,0.0,3.11
2025-01-17 20:15:00,0.0,0.0,0.0,3.11
2025-01-17 20:30:00,0.0,0.0,0.0,3.11
2025-01-17 20:45:00,0.0,0.0,0.0,3.11
2025-01-17 21:00:00,0.0,0.0,0.0,2.95
2025-01-17 21:15:00,0.0,0.0,0.0,2.95
2025-01-17 21:30:00,0.0,0.0,0.0,2.95
2025-01-17 21:45:00,0.0,0.0,0.0,2.95
2025-01-17 22:00:00,0.0,0.0,0.0,2.13
2025-01-17 22:15:00,0.0,0.0,0.0,2.13
2025-01-17 22:30:00,0.0,0.0,0.0,2.13
2025-01-17 22:45:00,0.0,0.0,0.0,2.13
2025-01-17 23:00:00,0.0,0.0,0.0,3.75
2025-01-17 23:15:00,0.0,0.0,0.0,-1.55
2025-01-17 23:30:00,0.0,0.0,0.0,-1.55
2025-01-17 23:45:00,0.0,0.0,0.0,4.03
2025-01-18 00:00:00,0.0,0.0,0.0,0.04
2025-01-18 00:15:00,0.0,0.0,0.0,0.04
2025-01-18 00:30:00,0.0,0.0,0.0,0.04
2025-01-18 00:45:00,0.0,0.0,0.0,0.04
2025-01-18 01:00:00,0.0,0.0,0.0,-0.2
2025-01-18 01:15:00,0.0,0.0,0.0,-0.2
2025-01-18 01:30:00,0.0,0.0,0.0,-0.2
2025-01-18 01:45:00,0.0,0.0,0.0,-0.2
2025-01-18 02:00:00,0.0,0.0,0.0,-0.2
2025-01-18 02:15:00,0.0,0.0,0.0,-0.2
2025-01-18 02:30:00,0.0,0.0,0.0,-0.2
2025-01-18 02:45:00,0.0,0.0,0.0,-0.2
2025-01-18 03:00:00,0.0,0.0,0.0,-0.05
2025-01-18 03:15:00,0.0,0.0,0.0,-0.05
2025-01-18 03:30:00,0.0,0.0,0.0,-0.05
2025-01-18 03:45:00,0.0,0.0,0.0,-0.05
2025-01-18 04:00:00,0.0,0.0,0.0,0.01
2025-01-18 04:15:00,0.0,0.0,0.0,0.01
2025-01-18 04:30:00,0.0,0.0,0.0,0.01
2025-01-18 04:45:00,0.0,0.0,0.0,0.01
2025-01-18 05:00:00,0.0,0.0,0.0,0.26
2025-01-18 05:15:00,0.0,0.0,0.0,0.26
2025-01-18 05:30:00,0.0,0.0,0.0,0.26
2025-01-18 05:45:00,0.0,0.0,0.0,0.26
2025-01-18 06:00:00,0.0,0.0,0.0,1.66
2025-01-18 06:15:00,0.0,0.0,0.0,1.66
2025-01-18 06:30:00,0.0,0.0,0.0,1.66
2025-01-18 06:45:00,0.0,0.0,0.0,1.66
2025-01-18 07:00:00,0.0,0.0,0.0,2.0
2025-01-18 07:15:00,0.0,0.0,0.0,2.0
2025-01-18 07:30:00,0.0,0.0,0.0,2.0
2025-01-18 07:45:00,0.0,0.0,0.0,2.0
2025-01-18 08:00:00,0.0,0.0,0.0,-3.45
2025-01-18 08:15:00,0.0,0.0,0.0,-3.45
2025-01-18 08:30:00,0.0,0.0,0.0,-3.45
2025-01-18 08:45:00,0.0,0.0,0.0,-3.45
2025-01-18 09:00:00,0.0,0.0,0.0,3.38
2025-01-18 09:15:00,0.0,0.0,0.0,3.38
2025-01-18 09:30:00,0.0,0.0,0.0,3.38
2025-01-18 09:45:00,0.0,0.0,0.0,3.38
2025-01-18 10:00:00,0.0,0.0,0.0,3.5
2025-01-18 10:15:00,0.0,0.0,0.0,3.5
2025-01-18 10:30:00,0.0,0.0,0.0,3.5
2025-01-18 10:45:00,0.0,0.0,0.0,3.5
2025-01-18 11:00:00,0.0,0.0,0.0,3.38
2025-01-18 11:15:00,0.0,0.0,0.0,3.38
2025-01-18 11:30:00,0.0,0.0,0.0,3.38
2025-01-18 11:45:00,0.0,0.0,0.0,3.38
2025-01-18 12:00:00,0.0,0.0,0.0,2.2
2025-01-18 12:15:00,0.0,0.0,0.0,2.2
2025-01-18 12:30:00,0.0,0.0,0.0,2.2
2025-01-18 12:45:00,0.0,0.0,0.0,2.2
2025-01-18 13:00:00,0.0,0.0,0.0,-2.65
2025-01-18 13:15:00,0.0,0.0,0.0,-2.65
2025-01-18 13:30:00,0.0,0.0,0.0,-2.65
2025-01-18 13:45:00,0.0,0.0,0.0,-2.65
2025-01-18 14:00:00,0.0,0.3,0.3,0.78
2025-01-18 14:15:00,0.0,0.3,0.3,0.78
2025-01-18 14:30:00,0.0,0.3,0.3,0.78
2025-01-18 14:45:00,0.0,0.3,0.3,0.78
2025-01-18 15:00:00,0.0,0.0,0.0,0.46
2025-01-18 15:15:00,0.0,0.0,0.0,0.46
2025-01-18 15:30:00,0.0,0.0,0.0,0.46
2025-01-18 15:45:00,0.0,0.0,0.0,0.46
2025-01-18 16:00:00,0.0,0.0,0.0,3.3
2025-01-18 16:15:00,0.0,0.0,0.0,3.3
2025-01-18 16:30:00,0.0,0.0,0.0,3.3
2025-01-18 16:45:00,0.0,0.0,0.0,3.3
