date,low,high,last,weighted_avg,id_full,buy_volume,sell_volume,total_volume
2024-11-06 01:00:00,-6.00,3.99,-0.73,-1.80,-1.80,6.0,183.4,94.7
2024-11-06 02:00:00,-5.33,1.99,-0.12,-2.28,-2.28,13.5,273.5,143.5
2024-11-06 03:00:00,-3.20,2.50,-0.01,-0.92,-0.92,29.9,175.7,102.8
2024-11-06 04:00:00,1.30,6.18,3.00,2.54,2.54,7.6,188.5,98.1
2024-11-06 05:00:00,11.10,32.36,18.00,17.64,17.64,6.0,181.1,93.6
2024-11-06 06:00:00,35.78,50.01,36.15,39.53,39.53,12.7,21.4,17.1
2024-11-06 07:00:00,78.00,119.00,109.00,102.48,102.48,10.2,45.3,27.8
2024-11-06 08:00:00,77.00,129.19,77.00,95.54,95.54,3.9,132.7,68.3
2024-11-06 09:00:00,61.54,108.13,65.00,85.66,85.66,24.0,165.9,95.0
2024-11-06 10:00:00,69.80,92.21,73.22,80.32,80.32,18.1,80.4,49.3
2024-11-06 11:00:00,67.00,84.26,69.09,71.42,71.42,20.5,95.0,57.8
2024-11-06 12:00:00,59.20,86.88,61.46,72.05,72.05,13.5,71.1,42.3
2024-11-06 13:00:00,80.30,92.17,89.07,87.75,87.75,40.0,59.9,50.0
2024-11-06 14:00:00,81.51,140.00,140.00,103.23,103.23,108.2,81.5,94.9
2024-11-06 15:00:00,97.56,215.10,115.00,143.79,143.79,108.4,116.0,112.2
2024-11-06 16:00:00,83.10,220.59,153.00,148.58,148.58,116.4,105.9,111.2
2024-11-06 17:00:00,130.18,279.39,150.01,198.31,198.31,135.4,84.9,110.2
2024-11-06 18:00:00,84.70,262.45,124.00,156.06,156.06,209.4,126.7,168.1
2024-11-06 19:00:00,50.00,173.86,50.00,102.15,102.15,250.3,86.1,168.2
2024-11-06 20:00:00,9.61,108.00,29.16,58.85,58.85,200.0,84.1,142.1
2024-11-06 21:00:00,16.71,92.43,25.69,60.76,60.76,161.1,46.2,103.7
2024-11-06 22:00:00,25.66,69.99,26.15,47.57,47.57,148.5,45.3,96.9
2024-11-06 23:00:00,17.80,55.08,19.00,33.82,33.82,122.7,20.6,71.7
2024-11-07 00:00:00,3.22,32.00,3.22,8.31,8.31,47.3,6.0,26.7
2024-11-07 01:00:00,-3.00,4.20,-2.00,-0.21,-0.21,43.1,84.6,63.9
2024-11-07 02:00:00,-5.00,2.81,-3.00,-1.87,-1.87,47.2,144.6,95.9
2024-11-07 03:00:00,-4.30,0.67,-3.78,-2.58,-2.58,26.0,135.4,80.7
2024-11-07 04:00:00,-2.00,11.49,0.00,0.90,0.90,47.9,141.3,94.6
2024-11-07 05:00:00,6.00,21.49,6.00,15.98,15.98,57.0,185.9,121.5
2024-11-07 06:00:00,20.02,51.00,21.78,33.02,33.02,90.6,188.8,139.7
2024-11-07 07:00:00,57.76,152.18,106.00,108.49,108.49,89.7,111.1,100.4
2024-11-07 08:00:00,68.96,165.00,121.64,130.41,130.41,87.6,112.2,99.9
2024-11-07 09:00:00,67.80,159.60,72.00,118.64,118.64,101.1,116.6,108.9
2024-11-07 10:00:00,43.80,115.00,55.10,70.32,70.32,71.1,89.8,80.5
2024-11-07 11:00:00,27.79,100.71,27.79,70.28,70.28,119.0,92.0,105.5
2024-11-07 12:00:00,5.00,104.73,25.00,59.87,59.87,161.9,241.3,201.6
2024-11-07 13:00:00,22.60,94.29,30.00,49.83,49.83,55.6,146.9,101.3
2024-11-07 14:00:00,21.99,84.56,38.41,42.64,42.64,50.9,178.6,114.8
2024-11-07 15:00:00,14.94,50.14,30.00,36.93,36.93,26.2,193.3,109.8
2024-11-07 16:00:00,16.50,58.30,39.00,38.41,38.41,6.0,160.4,83.2
2024-11-07 17:00:00,-5.00,94.62,2.98,34.02,34.02,32.8,167.4,100.1
2024-11-07 18:00:00,-0.01,48.92,-0.01,20.89,20.89,7.2,179.1,93.2
2024-11-07 19:00:00,-6.00,50.41,18.00,19.55,19.55,14.9,194.1,104.5
2024-11-07 20:00:00,-2.03,37.10,0.40,24.40,24.40,20.0,155.7,87.9
2024-11-07 21:00:00,1.10,35.10,4.89,17.20,17.20,2.2,164.9,83.6
2024-11-07 22:00:00,4.09,32.01,27.30,16.49,16.49,8.3,110.8,59.6
2024-11-07 23:00:00,-0.90,31.20,1.28,12.39,12.39,11.8,118.2,65.0
2024-11-08 00:00:00,-5.00,5.98,-2.64,-0.66,-0.66,6.0,50.7,28.4
2024-11-08 01:00:00,-10.00,2.70,-10.00,-3.69,-3.69,8.0,186.3,97.2
2024-11-08 02:00:00,-3.30,2.87,0.76,-1.25,-1.25,37.4,185.3,111.4
2024-11-08 03:00:00,-2.62,3.41,0.49,-1.09,-1.09,16.7,101.8,59.3
2024-11-08 04:00:00,-4.60,3.46,-2.52,-1.71,-1.71,18.1,95.1,56.6
2024-11-08 05:00:00,-23.72,1.80,-10.01,-4.57,-4.57,0.0,47.5,23.8
2024-11-08 06:00:00,1.10,12.41,7.00,6.01,6.01,23.5,95.6,59.6
2024-11-08 07:00:00,4.94,19.00,4.94,9.20,9.20,0.9,41.1,21.0
2024-11-08 08:00:00,7.34,17.46,10.01,12.55,12.55,20.9,73.9,47.4
2024-11-08 09:00:00,2.40,15.74,5.50,6.72,6.72,22.5,84.7,53.6
2024-11-08 10:00:00,1.81,9.55,3.00,4.59,4.59,15.5,79.6,47.6
2024-11-08 11:00:00,2.30,7.00,7.00,5.34,5.34,29.7,49.1,39.4
2024-11-08 12:00:00,1.70,4.50,2.50,3.08,3.08,13.4,68.8,41.1
2024-11-08 13:00:00,1.98,6.70,3.09,3.73,3.73,46.6,50.3,48.5
2024-11-08 14:00:00,-4.00,0.67,-0.29,-1.15,-1.15,25.1,5.5,15.3
2024-11-08 15:00:00,-3.21,0.18,-2.51,-2.06,-2.06,24.4,2.0,13.2
2024-11-08 16:00:00,-5.60,0.29,-0.66,-4.11,-4.11,21.1,50.9,36.0
2024-11-08 17:00:00,-5.08,1.20,1.20,-2.20,-2.20,27.3,95.3,61.3
2024-11-08 18:00:00,-7.49,1.63,1.63,-2.67,-2.67,45.0,77.9,61.5
2024-11-08 19:00:00,-9.00,-1.05,-3.60,-4.96,-4.96,65.3,73.9,69.6
2024-11-08 20:00:00,-10.00,-2.10,-7.59,-7.14,-7.14,8.3,28.1,18.2
2024-11-08 21:00:00,-8.33,-2.00,-3.00,-5.76,-5.76,24.4,59.2,41.8
2024-11-08 22:00:00,-12.40,-3.10,-5.84,-6.59,-6.59,17.4,69.2,43.3
2024-11-08 23:00:00,-7.75,1.62,-1.10,-2.70,-2.70,63.9,69.8,66.9
2024-11-09 00:00:00,-7.25,1.64,-2.00,-3.19,,14.0,32.0,23.0
2024-11-09 01:00:00,-4.76,1.10,-4.10,-3.26,,0.4,30.2,15.3
2024-11-09 02:00:00,-5.00,-1.65,-5.00,-3.15,,0.0,32.9,16.5
2024-11-09 03:00:00,-5.07,-1.29,-1.29,-1.83,,1.3,11.1,6.2
2024-11-09 04:00:00,-5.50,0.89,-2.79,-3.64,,5.2,37.4,21.3
2024-11-09 05:00:00,-7.00,0.49,-4.85,-4.77,,13.0,76.0,44.5
2024-11-09 06:00:00,-8.26,3.00,3.00,-2.53,,41.1,48.7,44.9
2024-11-09 07:00:00,-6.66,7.99,-5.00,-1.60,,31.0,123.9,77.5
2024-11-09 08:00:00,-5.00,4.52,-5.00,-1.93,,22.3,92.1,57.2
2024-11-09 09:00:00,-6.00,9.01,0.26,0.80,,9.2,94.4,51.8
2024-11-09 10:00:00,0.00,28.00,9.50,13.04,,16.5,100.3,58.4
2024-11-09 11:00:00,3.00,16.14,9.90,10.95,,93.1,106.8,100.0
2024-11-09 12:00:00,10.00,19.73,17.98,17.46,,90.2,29.4,59.8
2024-11-09 13:00:00,18.33,87.00,87.00,34.77,,148.9,48.6,98.8
2024-11-09 14:00:00,19.00,80.80,78.92,38.48,,186.9,65.9,126.4
2024-11-09 15:00:00,50.88,89.54,89.54,70.25,,85.0,15.1,50.1
2024-11-09 16:00:00,71.55,96.10,82.00,78.89,,37.8,27.9,32.9
2024-11-09 17:00:00,75.10,105.01,105.00,92.53,,23.2,28.0,25.6
2024-11-09 18:00:00,85.00,106.01,106.00,93.50,,3.2,20.0,11.6
2024-11-09 19:00:00,88.50,102.71,102.71,92.58,,6.8,21.0,13.9
2024-11-09 20:00:00,84.07,92.00,84.07,88.83,,0.0,10.0,5.0
2024-11-09 21:00:00,107.17,107.17,107.17,107.17,,0.0,10.0,5.0
2024-11-09 22:00:00,0.00,0.00,0.00,0.00,,0.0,0.0,0.0
2024-11-09 23:00:00,0.00,0.00,0.00,0.00,,0.0,0.0,0.0
