date,Buy_Volume,Sell_Volume,Volume,Price
2024-12-28 00:00:00,0.0,3.3,3.3,5.7
2024-12-28 00:30:00,0.0,3.3,3.3,5.7
2024-12-28 01:00:00,0.0,3.3,3.3,5.7
2024-12-28 01:30:00,0.0,3.3,3.3,5.7
2024-12-28 02:00:00,0.0,0.0,0.0,1.51
2024-12-28 02:30:00,0.0,0.0,0.0,1.51
2024-12-28 03:00:00,0.0,0.0,0.0,1.51
2024-12-28 03:30:00,0.0,0.0,0.0,1.51
2024-12-28 04:00:00,0.0,0.0,0.0,0.34
2024-12-28 04:30:00,0.0,0.0,0.0,4.16
2024-12-28 05:00:00,0.0,0.0,0.0,4.16
2024-12-28 05:30:00,0.0,0.0,0.0,4.16
2024-12-28 06:00:00,0.0,2.3,2.3,7.91
2024-12-28 06:30:00,0.0,2.3,2.3,7.91
2024-12-28 07:00:00,0.0,2.3,2.3,7.91
2024-12-28 07:30:00,0.0,2.3,2.3,7.91
2024-12-28 08:00:00,0.0,0.8,0.8,9.13
2024-12-28 08:30:00,0.0,0.8,0.8,9.13
2024-12-28 09:00:00,0.0,0.8,0.8,9.13
2024-12-28 09:30:00,0.0,0.8,0.8,9.13
2024-12-28 10:00:00,0.0,13.6,13.6,0.0
2024-12-28 10:30:00,0.0,13.6,13.6,0.0
2024-12-28 11:00:00,0.0,13.6,13.6,0.0
2024-12-28 11:30:00,0.0,13.6,13.6,0.0
2024-12-28 12:00:00,0.0,12.8,12.8,0.0
2024-12-28 12:30:00,0.0,12.8,12.8,0.0
2024-12-28 13:00:00,0.0,12.8,12.8,0.0
2024-12-28 13:30:00,0.0,12.8,12.8,0.0
2024-12-28 14:00:00,0.0,0.8,0.8,-0.01
2024-12-28 14:30:00,0.0,0.8,0.8,-0.01
2024-12-28 15:00:00,0.0,0.8,0.8,-0.01
2024-12-28 15:30:00,0.0,0.8,0.8,-0.01
2024-12-28 16:00:00,0.0,1.5,1.5,-0.01
2024-12-28 16:30:00,0.0,1.5,1.5,-0.01
2024-12-28 17:00:00,0.0,1.5,1.5,-0.01
2024-12-28 17:30:00,0.0,1.5,1.5,-0.01
2024-12-28 18:00:00,0.0,1.5,1.5,-0.01
2024-12-28 18:30:00,0.0,1.5,1.5,-0.01
2024-12-28 19:00:00,0.0,1.5,1.5,-0.01
2024-12-28 19:30:00,0.0,1.5,1.5,-0.01
2024-12-28 20:00:00,0.0,0.8,0.8,-0.01
2024-12-28 20:30:00,0.0,0.8,0.8,-0.01
2024-12-28 21:00:00,0.0,0.8,0.8,-0.01
2024-12-28 21:30:00,0.0,0.8,0.8,-0.01
2024-12-28 22:00:00,0.0,0.1,0.1,-0.01
2024-12-28 22:30:00,0.0,0.1,0.1,-0.01
2024-12-28 23:00:00,0.0,0.1,0.1,-0.01
2024-12-28 23:30:00,0.0,0.1,0.1,-0.01
2024-12-29 00:00:00,0.0,0.0,0.0,-2.21
2024-12-29 00:30:00,0.0,0.0,0.0,-2.21
2024-12-29 01:00:00,0.0,0.0,0.0,-2.21
2024-12-29 01:30:00,0.0,0.0,0.0,-2.21
2024-12-29 02:00:00,0.0,0.0,0.0,-2.33
2024-12-29 02:30:00,0.0,0.0,0.0,-2.33
2024-12-29 03:00:00,0.0,0.0,0.0,-2.33
2024-12-29 03:30:00,0.0,0.0,0.0,-2.33
2024-12-29 04:00:00,0.0,0.0,0.0,-2.12
2024-12-29 04:30:00,0.0,0.0,0.0,-2.12
2024-12-29 05:00:00,0.0,0.0,0.0,-2.12
2024-12-29 05:30:00,0.0,0.0,0.0,-2.12
2024-12-29 06:00:00,0.0,0.0,0.0,-1.25
2024-12-29 06:30:00,0.0,0.0,0.0,-1.25
2024-12-29 07:00:00,0.0,0.0,0.0,-1.25
2024-12-29 07:30:00,0.0,0.0,0.0,-1.25
2024-12-29 08:00:00,0.0,0.0,0.0,-2.27
2024-12-29 08:30:00,0.0,0.0,0.0,-2.27
2024-12-29 09:00:00,0.0,0.0,0.0,-2.27
2024-12-29 09:30:00,0.0,0.0,0.0,-2.27
2024-12-29 10:00:00,0.0,0.0,0.0,-0.59
2024-12-29 10:30:00,0.0,0.0,0.0,-0.59
2024-12-29 11:00:00,0.0,0.0,0.0,-0.59
2024-12-29 11:30:00,0.0,0.0,0.0,-0.59
2024-12-29 12:00:00,0.0,0.0,0.0,-2.2
2024-12-29 12:30:00,0.0,0.0,0.0,-2.2
2024-12-29 13:00:00,0.0,0.0,0.0,-2.2
2024-12-29 13:30:00,0.0,0.0,0.0,-2.2
2024-12-29 14:00:00,0.0,7.0,7.0,-4.0
2024-12-29 14:30:00,0.0,7.0,7.0,-4.0
2024-12-29 15:00:00,0.0,7.0,7.0,-4.0
2024-12-29 15:30:00,0.0,7.0,7.0,-4.0
2024-12-29 16:00:00,0.0,1.6,1.6,-5.01
2024-12-29 16:30:00,0.0,1.6,1.6,-5.01
2024-12-29 17:00:00,0.0,1.6,1.6,-5.01
2024-12-29 17:30:00,0.0,1.6,1.6,-5.01
2024-12-29 18:00:00,0.0,1.8,1.8,-5.01
2024-12-29 18:30:00,0.0,1.8,1.8,-5.01
2024-12-29 19:00:00,0.0,1.8,1.8,-5.01
2024-12-29 19:30:00,0.0,1.8,1.8,-5.01
2024-12-29 20:00:00,0.0,6.3,6.3,-7.01
2024-12-29 20:30:00,0.0,6.3,6.3,-7.01
2024-12-29 21:00:00,0.0,6.3,6.3,-7.01
2024-12-29 21:30:00,0.0,6.3,6.3,-7.01
2024-12-29 22:00:00,0.0,18.8,18.8,-8.01
